taxonID	datasetID	parentNameUsageID	acceptedNameUsageID	originalNameUsageID	scientificName	scientificNameAuthorship	canonicalName	genericName	specificEpithet	infraspecificEpithet	taxonRank	nameAccordingTo	namePublishedIn	taxonomicStatus	nomenclaturalStatus	taxonRemarks	kingdom	phylum	class	order	family	genus
1401214	7ddf754f-d193-4cc9-b351-99906754a03b	1401204			Apegus rufus Kozlov & Kononova, 1986	Kozlov & Kononova, 1986	Apegus rufus	Apegus	rufus		species			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Scelionidae	Apegus
7628079	7ddf754f-d193-4cc9-b351-99906754a03b	4298215			Larropsis arizonensis G.Bohart & R.Bohart, 1966	G.Bohart & R.Bohart, 1966	Larropsis arizonensis	Larropsis	arizonensis		species			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Crabronidae	Larropsis
8671620	c33ce2f2-c3cc-43a5-a380-fe4526d63650	4671698			Gurvanotrupes stolidus Zhang & Zhang, 2001	Zhang & Zhang, 2001	Gurvanotrupes stolidus	Gurvanotrupes	stolidus		species			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Proctotrupidae	Gurvanotrupes
8274140	7ddf754f-d193-4cc9-b351-99906754a03b	4298215			Larropsis sericea G.Bohart & R.Bohart, 1966	G.Bohart & R.Bohart, 1966	Larropsis sericea	Larropsis	sericea		species			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Crabronidae	Larropsis
8827439	6cfd67d6-4f9b-400b-8549-1933ac27936f	1347343			Eremnophila miliaris (Cameron & P., 1888)	(Cameron & P., 1888)	Eremnophila miliaris	Eremnophila	miliaris		species			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Sphecidae	Eremnophila
8607679	b5b97f2a-6dd8-44da-9bc8-dfcb21377623	1248771			Pleroneura piceae Shinohara & Hara, 1995	Shinohara & Hara, 1995	Pleroneura piceae	Pleroneura	piceae		species			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Xyelidae	Pleroneura
6252465	7ddf754f-d193-4cc9-b351-99906754a03b	1346738	6252464		Sphex niveatus ettingol Tsuneki, 1971	Tsuneki, 1971	Sphex niveatus ettingol	Sphex	niveatus	ettingol	subspecies			synonym			Animalia	Arthropoda	Insecta	Hymenoptera	Sphecidae	Prionyx
8351628	7ddf754f-d193-4cc9-b351-99906754a03b	4298215			Larropsis sparsa G.Bohart & R.Bohart, 1966	G.Bohart & R.Bohart, 1966	Larropsis sparsa	Larropsis	sparsa		species			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Crabronidae	Larropsis
7574874	7ddf754f-d193-4cc9-b351-99906754a03b	4298371			Didineis latimana Malloch & Rohwer, 1930	Malloch & Rohwer, 1930	Didineis latimana	Didineis	latimana		species			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Crabronidae	Didineis
1401229	7ddf754f-d193-4cc9-b351-99906754a03b	1401204			Apegus ruficornis Kozlov & Kononova, 1986	Kozlov & Kononova, 1986	Apegus ruficornis	Apegus	ruficornis		species			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Scelionidae	Apegus
7498929	7ddf754f-d193-4cc9-b351-99906754a03b	4298215			Larropsis testacea G.Bohart & R.Bohart, 1966	G.Bohart & R.Bohart, 1966	Larropsis testacea	Larropsis	testacea		species			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Crabronidae	Larropsis
7688887	7ddf754f-d193-4cc9-b351-99906754a03b	4298215			Larropsis bradleyi G.Bohart & R.Bohart, 1962	G.Bohart & R.Bohart, 1962	Larropsis bradleyi	Larropsis	bradleyi		species			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Crabronidae	Larropsis
6253419	7ddf754f-d193-4cc9-b351-99906754a03b	1374118	1378533		Berecyntus bakeri arizonensis Girault, 1916	Girault, 1916	Berecyntus bakeri arizonensis	Berecyntus	bakeri	arizonensis	subspecies			synonym			Animalia	Arthropoda	Insecta	Hymenoptera	Encyrtidae	Copidosoma
6253421	7ddf754f-d193-4cc9-b351-99906754a03b	1374118	1378533		Berecyntus bakeri gemma Girault, 1916	Girault, 1916	Berecyntus bakeri gemma	Berecyntus	bakeri	gemma	subspecies			synonym			Animalia	Arthropoda	Insecta	Hymenoptera	Encyrtidae	Copidosoma
